chunk_id,source_id,title,collection,use_mode,risk_scope,population_tags,topic_tags,language,review_status,char_count,content_preview,review_decision,review_comment
CCI_DISORDERED_EATING_d6d7d1c1_00021_157d5e8b1381,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,308,My regular medical practitioner is: _____________________________________ My review with my medical practitioner is booked for: _____________________  provides more information on the neurobiology of eating disorders. FACT: Research shows t,,
CCI_DISORDERED_EATING_d6d7d1c1_00022_94e2258c1a25,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,378,"Module 1: What Are Eating Disorders?  Recovery is Possible! Research tells us that full recovery from an eating disorder is possible. With adequate re -nourishment and learning, the brain and body can return to healthy functioning and unhel",,
CCI_DISORDERED_EATING_d6d7d1c1_00023_06c944a18b60,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,692,"In this workbook we are going to focus on strategies that come from one of the leading evidence -based treatments, cognitive-behavioural therapy for eating disorders (CBT-ED). Evidence-based means that CBT-ED has been shown to be effective ",,
CCI_DISORDERED_EATING_d6d7d1c1_00024_5421057e1d63,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,212,"For some people, self-help might offer just the right amount of support to recover. For others, it might not be enough, and it may be necessary to work alongside a mental health professional.  Ready, Set, Action!",,
CCI_DISORDERED_EATING_d6d7d1c1_00025_a03a8643e6da,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,309,"There has been a lot of research exploring the factors that influence whether or not someone is likely to recover from an eating disorder. Interestingly, most of the factors we predict to be important, like age, gender, diagnosis, duration ",,
CCI_DISORDERED_EATING_d6d7d1c1_00026_050af6af6be2,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,354,"The single most consistent predictor of overcoming an eating disorder is actually how quickly you can get started on making early behavioural change s. This means giving the modules a go, testing out the strategies, and making changes to yo",,
CCI_DISORDERED_EATING_d6d7d1c1_00027_bc529bed3eca,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,166,"Before you get started, we encourage you to consider whether this is the right time and whether there are people you can ask for support as you work towards recovery.",,
CCI_DISORDERED_EATING_d6d7d1c1_00028_d9f6b47cfe9e,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,659,Many people with eating disorders tend to focus on what they have not done well rather than focussing on progress and this can lead to setbacks. We also know that just tracking your progress leads to improved o utcomes. From Module 4 onward,,
CCI_DISORDERED_EATING_d6d7d1c1_00029_d3277a401f23,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,36,Module 1: What Are Eating Disorders?,,
CCI_DISORDERED_EATING_d6d7d1c1_00030_667b2d016124,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,807,"It is completely normal to feel apprehensive or anxious about the idea of making changes to your eating disorder behaviours. While distress can be very uncomfortable, we know that it is safe to experience these feelings and they are likely ",,
CCI_DISORDERED_EATING_d6d7d1c1_00031_771b870644e4,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,141,"We also encourage you to read our ‘Facing Your Feelings’ modules, a short, 4-session guide to sitting with, accepting and improving distress.",,
CCI_DISORDERED_EATING_d6d7d1c1_00032_1ff1b84326f4,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,447,"What to Expect from this Workbook  When using self-help materials, some people might skip sections or complete things in a different order. The modules in this workbook have been designed to be completed in the order they appear. Research t",,
CCI_DISORDERED_EATING_d6d7d1c1_00033_32b67417ce31,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,543,Module 1: What Are Eating Disorders? Module 2: What Keeps Eating Disorders Going? Module 3: Understanding the Number on the Scale Module 4: Understanding Your Eating Module 5: Food and Energy Module 6: Eating for Recovery: Part 1 Module 7: ,,
